Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
𝑬𝒎𝒊,@JK91o_o,2023-10-31T23:11:40.000Z,False,"まかさんおはもフレンド欄見てマッチすると願ったけど、誰ともマッチせずクマ出たよ！
まかさんも買おうよ今日も頑張ろね( •̀ᄇ• ́)ﻭ✧ﾌｧｲﾃｨﾝ!!",1,0,1,8,[],[],"['\\u263a\\ufe0f', '\\U0001f602', '\\U0001f9f8', '\\u2728', '\\U0001f4aa']",https://pbs.twimg.com/profile_images/1914886165486026752/7WrvtUMR_normal.jpg,https://x.com/JK91o_o/status/1719492361372541291,tweet_id:1719492361372541291
社畜田@DBD,社畜田@DBD,2023-10-31T23:11:34.000Z,True,えっんな事ないですよ,0,0,1,48,[],[],"['\\u2049\\ufe0f', '\\u2049\\ufe0f', '\\U0001f633']",https://pbs.twimg.com/profile_images/1512622564962562051/3-FoRvon_normal.jpg,https://x.com/SHACHIKUDA_DBD/status/1719492336072421799,tweet_id:1719492336072421799
星寝ぴー☆ぐぅすかぴー,@Gu_pi_Hoshine,2023-10-31T23:11:32.000Z,False,"おはむにゃ〜| ᐕ)まだ眠いぴーだよ！！
後でこっそりDBDのキラーミッションでもやろーかな！

今日も一日頑張るぞい〜！
 #おはようVutber",1,0,6,117,['#おはようVutber'],[],['\\u2728'],https://pbs.twimg.com/profile_images/1773866580025528321/XkLQK1Ne_normal.jpg,https://x.com/Gu_pi_Hoshine/status/1719492328258515028,tweet_id:1719492328258515028
Mai,@MaiMai_dbd,2023-10-31T23:11:31.000Z,False,"飲めちゃうから仮装ってバレてたんやなww
ハロウィンの少し前だったけど",0,0,1,22,[],[],"['\\U0001f607', '\\U0001f92d', '\\u2728']",https://pbs.twimg.com/profile_images/1438638718877798400/h72pdo4z_normal.jpg,https://x.com/MaiMai_dbd/status/1719492325423124704,tweet_id:1719492325423124704
龍角散,@fal_dbd,2023-10-31T23:11:17.000Z,False,今まで咳はずっと出てたけど、普通に風邪ひいたっぽい,2,0,5,144,[],[],['\\U0001f637'],https://pbs.twimg.com/profile_images/1795635665989963777/mcIp7iPI_normal.jpg,https://x.com/fal_dbd/status/1719492266430288037,tweet_id:1719492266430288037
あき,@gurakoro21,2023-10-31T23:10:49.000Z,False,ポチッてしまった#dbd#DeadbyDaylight,4,0,47,1.3K,"['#dbd', '#DeadbyDaylight']",[],['\\u2728'],https://pbs.twimg.com/profile_images/1808089454734987264/Wv45S2Rr_normal.jpg,https://x.com/gurakoro21/status/1719492150478688505,tweet_id:1719492150478688505
Mai,@MaiMai_dbd,2023-10-31T23:10:37.000Z,False,みうらちゃんはぴはろかぼちゃ好きなんだよね微熱ある程度で他は何も支障ないNESMITH会来る前も寝てたし大丈夫ありがとう〜,0,0,1,42,[],[],"['\\U0001f47b', '\\U0001f383', '\\U0001f979', '\\U0001faf6', '\\U0001f44c\\U0001f3fb', '\\U0001fa77', '\\U0001f60c', '\\u2728']",https://pbs.twimg.com/profile_images/1438638718877798400/h72pdo4z_normal.jpg,https://x.com/MaiMai_dbd/status/1719492099295564236,tweet_id:1719492099295564236
𝐚＊𝐬𝐮𝐫𝐚@あすらーんTwitch,𝐚＊𝐬𝐮𝐫𝐚@あすらーんTwitch,2023-10-31T23:10:03.000Z,False,"！！！
はふちゃん！！あたしも大好きー！！！！
今でもたまに新喜劇には出てるよね",1,0,0,28,[],[],"['\\U0001f97a', '\\u2728', '\\u2728', '\\u2728', '\\u263a\\ufe0f']",https://pbs.twimg.com/profile_images/1695398558890102784/ZcyF9LZt_normal.jpg,https://x.com/asura_asuran/status/1719491956395688104,tweet_id:1719491956395688104
社畜田@DBD,社畜田@DBD,2023-10-31T23:10:01.000Z,True,おめでとうございます,1,0,5,574,[],[],"['\\U0001f389', '\\U0001f38a']",https://pbs.twimg.com/profile_images/1512622564962562051/3-FoRvon_normal.jpg,https://x.com/SHACHIKUDA_DBD/status/1719491946924966208,tweet_id:1719491946924966208
黒猫@ねことこよみ ウマ娘6th両日参加＆フラスタ企画,黒猫@ねことこよみ ウマ娘6th両日参加＆フラスタ企画,2023-10-31T23:09:59.000Z,False,"おはようございますサークルの皆様、先月もお疲れ様でした今月も無理のない程度によろしくお願いいたします(⁎ᴗ͈ˬᴗ͈⁎)
フォロワーの皆様、今月も引き続きよろしくお願いいたします今月もウマ娘やDBDを楽しんでいきたいと思います(*´∀`)人(´∀｀*)

 #ウマ娘 #DeadbyDaylightMobile",8,0,29,638,"['#ウマ娘', '#DeadbyDaylightMobile']",[],"['\\u2728', '\\U0001f52e', '\\u2728', '\\u2728']",https://pbs.twimg.com/profile_images/1862163288508825600/rbicvJEm_normal.jpg,https://x.com/nekotokoyomi/status/1719491938322452732,tweet_id:1719491938322452732
アキト,@akiaki0503akts,2023-10-31T23:09:39.000Z,False,"魔法がかかる現代のプリクラw
恐るべしですねww",1,0,1,17,[],[],[],https://pbs.twimg.com/profile_images/1464897377425584129/xuKCE4kk_normal.jpg,https://x.com/akiaki0503akts/status/1719491856713863457,tweet_id:1719491856713863457
𝓟𓍼𝐬𝐲 `♡,@PsychoticRuins,2023-10-31T23:09:32.000Z,False,No its for trapper ! And Omg WHY am I surprised you know dbd HHahaha,1,0,0,67,[],[],[],https://pbs.twimg.com/profile_images/1921843496580739072/9x-lhqaH_normal.jpg,https://x.com/PsychoticRuins/status/1719491823771472220,tweet_id:1719491823771472220
The Fuckiu G,@TheFuckiuG,2023-10-31T23:09:25.000Z,False,Hoy es Halloween y por eso hay que jugar dbd chi cheñol (otra vez no puedo hacer directo a 1080p),0,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1910588196397674497/EfU5vrci_normal.jpg,https://x.com/TheFuckiuG/status/1719491795900400043,tweet_id:1719491795900400043
ゆとぴっぴ,@esp_forest_0620,2023-10-31T23:09:09.000Z,False,大丈夫かぁぁ,1,0,0,56,[],[],"['\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1858072717049913344/S_wL6dC5_normal.jpg,https://x.com/esp_forest_0620/status/1719491728615629249,tweet_id:1719491728615629249
FNaF For Dead by Daylight,@FNaF4DBD,2023-10-31T23:08:46.000Z,False,"Fuck this popped off a bit, uhhh... 

I make DbD concepts sometimes",1,0,38,9.4K,[],[],[],https://pbs.twimg.com/profile_images/1809999436325470208/1NtQZbYe_normal.jpg,https://x.com/FNaF4DBD/status/1719491631877935147,tweet_id:1719491631877935147
racon@Ae・Pr動画編集者／5時起き朝活継続中,racon@Ae・Pr動画編集者,2023-10-31T23:08:42.000Z,False,"【朝活237日目】7:45起床           
おはようございますここ数日ギリギリ納期に慌てふためき朝活に
支障が出ておりましたが無事期限内に納品を終え
ホッと一息今日は久しぶりにしっかり寝れましたまだ眠いけど…反省点改善に向けて今日もMIX・動画編集・筋トレ
頑張るぞ！ #朝活",0,0,18,133,['#朝活'],[],"['\\U0001f60a', '\\u2728', '\\u2728', '\\U0001f62a']",https://pbs.twimg.com/profile_images/1563691628866351104/Vozie6vC_normal.jpg,https://x.com/2Bv8sqGG5wivDBD/status/1719491617021915500,tweet_id:1719491617021915500
Ecchi Shiyou,@Ecchi__Shiyou,2023-10-31T23:08:38.000Z,False,#5 gg fuck dbd,2,0,6,510,[],[],[],https://pbs.twimg.com/profile_images/1513018010088665096/9ALU5AmJ_normal.jpg,https://x.com/Ecchi__Shiyou/status/1719491598248185924,tweet_id:1719491598248185924
